Date,Company SEDOL,return,abs_return,severity,reason,review_status,suggested_action,reviewer,review_notes,approved_action,corrected_return
2024-07-17,R3Q0GG-R,168883.984375,168883.984375,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-04-21,P52239-R,59226.7265625,59226.7265625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-07-24,PXN7MH-R,29916.138671875,29916.138671875,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-09-09,HWYM1P-R,18880.587890625,18880.587890625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-08-19,XN4WDM-R,14988.71875,14988.71875,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-08-21,HWYM1P-R,10085.384765625,10085.384765625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-08-13,T7HRLL-R,9976.6376953125,9976.6376953125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-26,XNQCR0-R,9975.2725,9975.2725,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-09-22,VW1H7G-R,4993.0537109375,4993.0537109375,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-11-15,T7HRLL-R,4986.115234375,4986.115234375,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-09-26,VW1H7G-R,4892.50439453125,4892.50439453125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-10,T4332F-R,3005.755,3005.755,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-25,J6L6Y9-R,2990.4378,2990.4378,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-04-12,R3Q0GG-R,2617.343505859375,2617.343505859375,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-10-10,J6L6Y9-R,1999.2591552734375,1999.2591552734375,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-10-20,VW1H7G-R,1801.085205078125,1801.085205078125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-08-23,LG0DHY-R,1490.54638671875,1490.54638671875,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-01-28,JXR980-R,1006.1466674804688,1006.1466674804688,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-07-10,J6L6Y9-R,1001.9965209960938,1001.9965209960938,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-01-23,JXR980-R,1001.1159057617188,1001.1159057617188,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-04-10,BBD288-R,1000.9555053710938,1000.9555053710938,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-10-31,K80C6V-R,1000.9061279296875,1000.9061279296875,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-11-01,T7HRLL-R,999.6912841796875,999.6912841796875,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-11-08,QR9H6P-R,998.2230834960938,998.2230834960938,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-28,PXN7MH-R,998.0523,998.0523,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-08-21,R3Q0GG-R,997.6519775390625,997.6519775390625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-08-07,PXN7MH-R,899.309814453125,899.309814453125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-07-31,R3Q0GG-R,846.2454223632812,846.2454223632812,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2015-10-28,WDK2F1-R,822.8444213867188,822.8444213867188,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-09-16,XN4WDM-R,693.4481811523438,693.4481811523438,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2021-10-05,GKYKWV-R,651.2394409179688,651.2394409179688,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-07,XNQCR0-R,557.40313,557.40313,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2015-12-23,WDK2F1-R,503.5024108886719,503.5024108886719,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2015-12-29,WDK2F1-R,502.5059814453125,502.5059814453125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-02-06,H6ZV58-R,501.5073547363281,501.5073547363281,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-03-19,X32NYV-R,501.2984313964844,501.2984313964844,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2015-12-10,WDK2F1-R,500.6669006347656,500.6669006347656,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-03-10,X32NYV-R,500.49945068359375,500.49945068359375,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-01-14,WDK2F1-R,499.4613037109375,499.4613037109375,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-03-14,X32NYV-R,498.33319091796875,498.33319091796875,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-06-23,X32NYV-R,498.32794189453125,498.32794189453125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-12-12,R3Q0GG-R,496.5367126464844,496.5367126464844,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-10-30,R3Q0GG-R,462.2266540527344,462.2266540527344,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-02-01,WDK2F1-R,445.98443603515625,445.98443603515625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-06-26,X32NYV-R,445.6561584472656,445.6561584472656,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-07-24,X32NYV-R,437.7846984863281,437.7846984863281,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-08-15,X32NYV-R,427.1275939941406,427.1275939941406,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-08-12,X32NYV-R,426.731689453125,426.731689453125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-12-19,LG0DHY-R,402.5841369628906,402.5841369628906,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-10-01,X32NYV-R,402.033447265625,402.033447265625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-08-29,HWYM1P-R,398.1319580078125,398.1319580078125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-08-18,PRCZJK-R,389.08203125,389.08203125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-08-05,X32NYV-R,378.95074462890625,378.95074462890625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2021-11-08,GGKD94-R,355.0797119140625,355.0797119140625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-01-12,HN45T9-R,347.2327575683594,347.2327575683594,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-12-14,R3Q0GG-R,325.2878723144531,325.2878723144531,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2021-10-12,GKYKWV-R,324.91180419921875,324.91180419921875,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-12-29,R3Q0GG-R,300.60235595703125,300.60235595703125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-09-24,H6ZV58-R,300.3411865234375,300.3411865234375,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-07-03,X32NYV-R,299.38287353515625,299.38287353515625,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-01-04,WDK2F1-R,250.85629272460938,250.85629272460938,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-01-12,WDK2F1-R,250.1479034423828,250.1479034423828,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-03-26,X32NYV-R,249.428955078125,249.428955078125,critical,"abs_threshold,positive_threshold",needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
