Date,Exchange Country Region,rows,groups,median_abs_neutral_diff,p90_abs_neutral_diff,max_abs_neutral_diff,neutral_corr
2026-04-30,Asia,163,163,1.7948717948717952,4.601398601398603,7.5,0.5564043786030575
2026-04-30,North America,553,553,1.5957446808510642,4.673973780356759,9.333333333333334,0.5572717783482346
2026-04-30,Pacific,12,12,0.714285714285714,2.0,4.285714285714285,0.8331819769472582
2026-04-30,West Europe,395,395,1.1940298507462686,4.054054054054054,8.805970149253731,0.6747455742326514
2026-05-31,Asia,156,156,1.6666666666666663,4.471153846153846,8.717948717948717,0.5474482278876402
2026-05-31,North America,543,543,1.5384615384615388,4.335403726708075,9.333333333333334,0.5896923731694632
2026-05-31,Pacific,13,13,1.25,3.500000000000001,3.75,0.7707615593834997
2026-05-31,West Europe,388,388,1.3100686498855827,3.5503685503685514,6.666666666666668,0.7172508627164375
2026-06-30,Asia,156,156,1.6666666666666665,4.322344322344323,8.205128205128204,0.5623400326191937
2026-06-30,North America,544,544,1.1999999999999995,3.8760683760683756,8.666666666666666,0.686297933453543
2026-06-30,Pacific,13,13,1.25,2.4000000000000004,3.75,0.8067089755213054
2026-06-30,West Europe,386,386,1.0810810810810814,3.333333333333333,6.5,0.7828163138961571
