market,version,result_type,source_file,metric,label,candidate_type,buckets,components,component_count,coverage,ratio_cagr,top_worst_ratio_return,ratio_max_drawdown,tracking_error,avg_turnover,robust_score,max_component_robust,max_component_ratio_cagr,max_component_top_worst,synergy_score,classification,left_out_bucket,full_model_metric,full_robust_score,without_robust_score,loo_contribution,full_ratio_cagr,without_ratio_cagr,ratio_contribution,benchmark,side,status,message,start_date,run_dir,family,role,direction,non_null_rows,first_date,last_date,avg_names_per_month,note,days,avg_holdings,valid,cagr,vol,sharpe,max_drawdown,ratio_return,information_ratio,rolling_3y_min_ratio_cagr,annual_active_hit_rate,perf_ptf,perf_bench,top_worst_ratio_max_drawdown,worst_ratio_return,theme,inputs,min_count,pass_gate,fail_reasons
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_ee96431827,quality_improvement + deleveraging + value_improvement,family_subset,quality_improvement|deleveraging|value_improvement,eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_deleveraging|eu_small_syn_bucket_value_improvement,3.0,0.8311274242966235,0.0799662969161574,44.11045236956669,-0.0468787535573014,0.0370997366521705,0.400225849107003,25.321209122358464,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_08e95a53d5,quality_improvement + deleveraging,family_subset,quality_improvement|deleveraging,eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_deleveraging,2.0,0.8360498934631476,0.0806623649599562,43.25043502210922,-0.0325498098389566,0.035757926449529,0.3524048069739258,24.97607396679472,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_e797b03b9e,quality_improvement + value_improvement,family_subset,quality_improvement|value_improvement,eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_value_improvement,2.0,0.968007838623886,0.0754789629164307,41.97969475302096,-0.0663999288344272,0.0391031116681385,0.4022186153938439,23.8761266571706,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_6d32f9616c,quality_improvement + earnings_yield_improvement + deleveraging,family_subset,quality_improvement|earnings_yield_improvement|deleveraging,eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_earnings_yield_improvement|eu_small_syn_bucket_deleveraging,3.0,0.8307697093176976,0.0768384999981992,34.85258339089192,-0.0500349651659883,0.0367514816687196,0.413119940643546,20.447552342493044,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_b3c0d0fc7d,revision + quality_improvement + deleveraging,family_subset,revision|quality_improvement|deleveraging,eu_small_syn_bucket_revision|eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_deleveraging,3.0,0.8228610977184005,0.0754446256732239,33.41593777746793,-0.0429384817176214,0.0382082112531346,0.313648988414151,19.63957254423689,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_af05547f2a,pmom + quality_improvement + value_improvement,family_subset,pmom|quality_improvement|value_improvement,eu_small_syn_bucket_pmom|eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_value_improvement,3.0,0.9586605906963,0.063012743536561,35.00887726690395,-0.1579613007067888,0.0459630418827861,0.3380124712282996,19.367050634413857,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_e5c1a446e9,revision + quality_improvement + value_improvement,family_subset,revision|quality_improvement|value_improvement,eu_small_syn_bucket_revision|eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_value_improvement,3.0,0.9527194114810956,0.0652949457850613,32.93233818469309,-0.0617449635218828,0.036048460372069,0.352549765146251,18.685646567229018,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_full_bucket_equal,all selected buckets equal-weight,full_model,revision|pmom|growth|quality_improvement|earnings_yield_improvement|deleveraging|value_improvement|risk_decline,eu_small_syn_bucket_revision|eu_small_syn_bucket_pmom|eu_small_syn_bucket_growth|eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_earnings_yield_improvement|eu_small_syn_bucket_deleveraging|eu_small_syn_bucket_value_improvement|eu_small_syn_bucket_risk_decline,8.0,0.9784126786630792,0.0582181320506283,33.18971279350185,-0.0963001786611875,0.0425368290812945,0.3164495285762379,18.33185309786658,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_cdefeb1ebb,quality_improvement + earnings_yield_improvement + value_improvement,family_subset,quality_improvement|earnings_yield_improvement|value_improvement,eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_earnings_yield_improvement|eu_small_syn_bucket_value_improvement,3.0,0.9624321508001928,0.0638272852625476,25.46133124949513,-0.0875432772890497,0.0378135515443453,0.4564147556045688,14.80828569597614,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-small,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709\family_subset_results.csv,eu_small_syn_subset_eba89b8a51,pmom + quality_improvement + deleveraging,family_subset,pmom|quality_improvement|deleveraging,eu_small_syn_bucket_pmom|eu_small_syn_bucket_quality_improvement|eu_small_syn_bucket_deleveraging,3.0,0.8279624243743876,0.0605779742063294,25.543263670517348,-0.1114661443963492,0.0470732373438655,0.2890110099232037,14.598688617279246,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
