market,version,candidate_id,component,bucket,weight
eu-small,old,eu_small_syn_subset_ee96431827,EV To EBITDA NTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_ee96431827,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_ee96431827,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_ee96431827,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_ee96431827,PB LTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_ee96431827,PB LTM directional_delta lag3,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_ee96431827,Oper Margin directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_ee96431827,Oper Margin directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_ee96431827,ROE avg FY0 directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_ee96431827,ROE avg FY0 directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_08e95a53d5,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.16666666666666666
eu-small,old,eu_small_syn_subset_08e95a53d5,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.16666666666666666
eu-small,old,eu_small_syn_subset_08e95a53d5,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.16666666666666666
eu-small,old,eu_small_syn_subset_08e95a53d5,Oper Margin directional_delta lag1,quality_improvement,0.125
eu-small,old,eu_small_syn_subset_08e95a53d5,Oper Margin directional_delta lag3,quality_improvement,0.125
eu-small,old,eu_small_syn_subset_08e95a53d5,ROE avg FY0 directional_delta lag1,quality_improvement,0.125
eu-small,old,eu_small_syn_subset_08e95a53d5,ROE avg FY0 directional_delta lag3,quality_improvement,0.125
