market,version,candidate_id,date,top,worst,benchmark
eu-small,old,eu_small_syn_subset_ee96431827,2007-04-30,100.0,100.0,100.0
eu-small,old,eu_small_syn_subset_ee96431827,2007-05-31,102.225,101.149,102.685
eu-small,old,eu_small_syn_subset_ee96431827,2007-06-30,100.16,97.417,99.715
eu-small,old,eu_small_syn_subset_ee96431827,2007-07-31,99.063,96.667,98.972
eu-small,old,eu_small_syn_subset_ee96431827,2007-08-31,97.039,92.558,95.787
eu-small,old,eu_small_syn_subset_ee96431827,2007-09-30,93.178,86.24,91.663
eu-small,old,eu_small_syn_subset_ee96431827,2007-10-31,99.363,90.45,97.259
eu-small,old,eu_small_syn_subset_ee96431827,2007-11-30,88.191,81.03,87.79
eu-small,old,eu_small_syn_subset_ee96431827,2007-12-31,85.82,78.49,85.104
eu-small,old,eu_small_syn_subset_ee96431827,2008-01-31,75.724,68.711,74.8
eu-small,old,eu_small_syn_subset_ee96431827,2008-02-29,79.207,70.73,77.036
eu-small,old,eu_small_syn_subset_ee96431827,2008-03-31,77.586,68.593,75.425
eu-small,old,eu_small_syn_subset_ee96431827,2008-04-30,79.91,69.419,78.404
eu-small,old,eu_small_syn_subset_ee96431827,2008-05-31,80.295,68.928,79.201
eu-small,old,eu_small_syn_subset_ee96431827,2008-06-30,75.087,63.472,72.593
eu-small,old,eu_small_syn_subset_ee96431827,2008-07-31,73.727,60.8,70.262
eu-small,old,eu_small_syn_subset_ee96431827,2008-08-31,75.639,61.971,72.511
eu-small,old,eu_small_syn_subset_ee96431827,2008-09-30,62.269,52.543,61.299
eu-small,old,eu_small_syn_subset_ee96431827,2008-10-31,49.93,41.272,49.225
eu-small,old,eu_small_syn_subset_ee96431827,2008-11-30,46.441,36.248,45.317
eu-small,old,eu_small_syn_subset_ee96431827,2008-12-31,45.898,35.24,43.321
eu-small,old,eu_small_syn_subset_ee96431827,2009-01-31,47.712,34.43,43.776
eu-small,old,eu_small_syn_subset_ee96431827,2009-02-28,46.157,32.023,41.27
eu-small,old,eu_small_syn_subset_ee96431827,2009-03-31,47.014,31.861,42.128
eu-small,old,eu_small_syn_subset_ee96431827,2009-04-30,58.173,40.694,50.889
eu-small,old,eu_small_syn_subset_ee96431827,2009-05-31,63.116,43.739,53.767
eu-small,old,eu_small_syn_subset_ee96431827,2009-06-30,63.343,43.265,54.193
eu-small,old,eu_small_syn_subset_ee96431827,2009-07-31,67.294,46.635,58.534
eu-small,old,eu_small_syn_subset_ee96431827,2009-08-31,72.422,50.682,63.419
eu-small,old,eu_small_syn_subset_ee96431827,2009-09-30,75.901,53.176,66.318
eu-small,old,eu_small_syn_subset_ee96431827,2009-10-31,74.49,51.812,64.54
eu-small,old,eu_small_syn_subset_ee96431827,2009-11-30,75.495,51.298,64.391
eu-small,old,eu_small_syn_subset_ee96431827,2009-12-31,80.19,54.098,68.468
eu-small,old,eu_small_syn_subset_ee96431827,2010-01-31,81.869,55.068,69.848
eu-small,old,eu_small_syn_subset_ee96431827,2010-02-28,81.684,53.908,68.903
eu-small,old,eu_small_syn_subset_ee96431827,2010-03-31,89.442,58.022,75.638
eu-small,old,eu_small_syn_subset_ee96431827,2010-04-30,91.659,59.322,77.701
eu-small,old,eu_small_syn_subset_ee96431827,2010-05-31,85.675,55.422,72.684
eu-small,old,eu_small_syn_subset_ee96431827,2010-06-30,84.732,54.615,72.348
eu-small,old,eu_small_syn_subset_ee96431827,2010-07-31,89.981,57.071,76.357
eu-small,old,eu_small_syn_subset_ee96431827,2010-08-31,88.736,55.755,75.206
eu-small,old,eu_small_syn_subset_ee96431827,2010-09-30,94.865,59.415,79.495
eu-small,old,eu_small_syn_subset_ee96431827,2010-10-31,100.008,61.236,82.399
eu-small,old,eu_small_syn_subset_ee96431827,2010-11-30,99.415,61.262,82.4
eu-small,old,eu_small_syn_subset_ee96431827,2010-12-31,110.117,66.754,90.101
eu-small,old,eu_small_syn_subset_ee96431827,2011-01-31,111.384,65.579,89.246
eu-small,old,eu_small_syn_subset_ee96431827,2011-02-28,114.907,65.711,90.683
eu-small,old,eu_small_syn_subset_ee96431827,2011-03-31,115.93,65.141,90.195
eu-small,old,eu_small_syn_subset_ee96431827,2011-04-30,120.185,65.961,93.532
eu-small,old,eu_small_syn_subset_ee96431827,2011-05-31,121.356,65.83,94.151
eu-small,old,eu_small_syn_subset_ee96431827,2011-06-30,117.579,62.692,90.512
eu-small,old,eu_small_syn_subset_ee96431827,2011-07-31,113.299,60.114,87.792
eu-small,old,eu_small_syn_subset_ee96431827,2011-08-31,101.401,52.481,79.133
eu-small,old,eu_small_syn_subset_ee96431827,2011-09-30,92.795,48.881,74.219
eu-small,old,eu_small_syn_subset_ee96431827,2011-10-31,101.599,51.293,79.204
eu-small,old,eu_small_syn_subset_ee96431827,2011-11-30,99.248,49.605,77.31
eu-small,old,eu_small_syn_subset_ee96431827,2011-12-31,99.046,50.031,77.574
eu-small,old,eu_small_syn_subset_ee96431827,2012-01-31,109.897,53.471,84.102
eu-small,old,eu_small_syn_subset_ee96431827,2012-02-29,117.917,55.481,88.677
eu-small,old,eu_small_syn_subset_ee96431827,2012-03-31,118.641,55.695,89.153
eu-small,old,eu_small_syn_subset_ee96431827,2012-04-30,119.229,54.54,89.238
eu-small,old,eu_small_syn_subset_ee96431827,2012-05-31,112.968,49.991,83.44
eu-small,old,eu_small_syn_subset_ee96431827,2012-06-30,115.95,50.319,85.693
eu-small,old,eu_small_syn_subset_ee96431827,2012-07-31,122.105,51.391,89.01
eu-small,old,eu_small_syn_subset_ee96431827,2012-08-31,126.679,52.358,91.153
eu-small,old,eu_small_syn_subset_ee96431827,2012-09-30,131.034,53.911,93.923
eu-small,old,eu_small_syn_subset_ee96431827,2012-10-31,134.51,54.198,95.404
eu-small,old,eu_small_syn_subset_ee96431827,2012-11-30,136.296,54.173,96.16
eu-small,old,eu_small_syn_subset_ee96431827,2012-12-31,142.246,56.455,99.444
eu-small,old,eu_small_syn_subset_ee96431827,2013-01-31,149.058,57.547,102.389
eu-small,old,eu_small_syn_subset_ee96431827,2013-02-28,156.779,59.715,106.553
eu-small,old,eu_small_syn_subset_ee96431827,2013-03-31,159.366,59.362,107.901
eu-small,old,eu_small_syn_subset_ee96431827,2013-04-30,159.888,59.083,109.079
eu-small,old,eu_small_syn_subset_ee96431827,2013-05-31,168.239,61.226,113.356
eu-small,old,eu_small_syn_subset_ee96431827,2013-06-30,162.273,58.74,108.524
eu-small,old,eu_small_syn_subset_ee96431827,2013-07-31,174.084,62.836,115.762
eu-small,old,eu_small_syn_subset_ee96431827,2013-08-31,177.459,63.4,117.008
eu-small,old,eu_small_syn_subset_ee96431827,2013-09-30,187.907,66.773,123.008
eu-small,old,eu_small_syn_subset_ee96431827,2013-10-31,196.546,69.717,128.912
eu-small,old,eu_small_syn_subset_ee96431827,2013-11-30,201.989,71.22,131.256
eu-small,old,eu_small_syn_subset_ee96431827,2013-12-31,204.646,72.282,134.117
eu-small,old,eu_small_syn_subset_ee96431827,2014-01-31,209.544,72.832,135.196
eu-small,old,eu_small_syn_subset_ee96431827,2014-02-28,224.972,76.813,144.236
eu-small,old,eu_small_syn_subset_ee96431827,2014-03-31,224.904,74.764,142.877
eu-small,old,eu_small_syn_subset_ee96431827,2014-04-30,223.458,73.135,140.986
eu-small,old,eu_small_syn_subset_ee96431827,2014-05-31,231.678,74.286,144.624
eu-small,old,eu_small_syn_subset_ee96431827,2014-06-30,230.23,72.77,143.412
eu-small,old,eu_small_syn_subset_ee96431827,2014-07-31,226.814,69.283,139.968
eu-small,old,eu_small_syn_subset_ee96431827,2014-08-31,232.46,68.898,142.174
eu-small,old,eu_small_syn_subset_ee96431827,2014-09-30,229.027,66.496,140.068
eu-small,old,eu_small_syn_subset_ee96431827,2014-10-31,229.864,64.182,138.886
eu-small,old,eu_small_syn_subset_ee96431827,2014-11-30,239.593,63.5,142.552
eu-small,old,eu_small_syn_subset_ee96431827,2014-12-31,244.006,64.029,145.698
eu-small,old,eu_small_syn_subset_ee96431827,2015-01-31,259.565,67.162,155.624
eu-small,old,eu_small_syn_subset_ee96431827,2015-02-28,287.398,72.362,169.654
eu-small,old,eu_small_syn_subset_ee96431827,2015-03-31,305.54,72.79,172.213
eu-small,old,eu_small_syn_subset_ee96431827,2015-04-30,314.738,72.157,174.665
eu-small,old,eu_small_syn_subset_ee96431827,2015-05-31,327.285,72.985,181.053
eu-small,old,eu_small_syn_subset_ee96431827,2015-06-30,321.42,70.964,176.009
eu-small,old,eu_small_syn_subset_ee96431827,2015-07-31,339.004,72.833,181.921
eu-small,old,eu_small_syn_subset_ee96431827,2015-08-31,326.277,68.973,171.984
eu-small,old,eu_small_syn_subset_ee96431827,2015-09-30,318.949,66.002,166.72
eu-small,old,eu_small_syn_subset_ee96431827,2015-10-31,340.176,70.89,177.307
eu-small,old,eu_small_syn_subset_ee96431827,2015-11-30,360.14,72.543,184.467
eu-small,old,eu_small_syn_subset_ee96431827,2015-12-31,354.969,70.955,179.974
eu-small,old,eu_small_syn_subset_ee96431827,2016-01-31,331.536,65.28,165.418
eu-small,old,eu_small_syn_subset_ee96431827,2016-02-29,337.267,65.204,164.657
eu-small,old,eu_small_syn_subset_ee96431827,2016-03-31,352.764,67.452,169.516
eu-small,old,eu_small_syn_subset_ee96431827,2016-04-30,356.789,67.991,170.688
eu-small,old,eu_small_syn_subset_ee96431827,2016-05-31,378.364,70.024,178.163
eu-small,old,eu_small_syn_subset_ee96431827,2016-06-30,344.504,66.608,162.542
eu-small,old,eu_small_syn_subset_ee96431827,2016-07-31,368.552,70.217,171.421
eu-small,old,eu_small_syn_subset_ee96431827,2016-08-31,379.387,70.863,174.089
eu-small,old,eu_small_syn_subset_ee96431827,2016-09-30,382.33,72.02,175.319
eu-small,old,eu_small_syn_subset_ee96431827,2016-10-31,376.778,69.639,170.795
eu-small,old,eu_small_syn_subset_ee96431827,2016-11-30,380.778,70.162,172.487
eu-small,old,eu_small_syn_subset_ee96431827,2016-12-31,402.297,73.439,180.879
eu-small,old,eu_small_syn_subset_ee96431827,2017-01-31,413.397,73.117,182.519
eu-small,old,eu_small_syn_subset_ee96431827,2017-02-28,426.724,75.081,188.362
eu-small,old,eu_small_syn_subset_ee96431827,2017-03-31,437.663,76.402,193.409
eu-small,old,eu_small_syn_subset_ee96431827,2017-04-30,462.22,80.094,203.147
eu-small,old,eu_small_syn_subset_ee96431827,2017-05-31,472.194,79.658,205.141
eu-small,old,eu_small_syn_subset_ee96431827,2017-06-30,460.389,77.296,200.519
eu-small,old,eu_small_syn_subset_ee96431827,2017-07-31,475.504,76.077,202.42
eu-small,old,eu_small_syn_subset_ee96431827,2017-08-31,478.429,75.067,200.927
eu-small,old,eu_small_syn_subset_ee96431827,2017-09-30,505.813,78.254,210.453
eu-small,old,eu_small_syn_subset_ee96431827,2017-10-31,517.615,78.563,214.841
eu-small,old,eu_small_syn_subset_ee96431827,2017-11-30,508.495,76.502,210.967
eu-small,old,eu_small_syn_subset_ee96431827,2017-12-31,521.779,78.47,215.079
eu-small,old,eu_small_syn_subset_ee96431827,2018-01-31,534.925,79.014,219.241
eu-small,old,eu_small_syn_subset_ee96431827,2018-02-28,519.03,75.269,212.489
eu-small,old,eu_small_syn_subset_ee96431827,2018-03-31,517.042,73.33,209.541
eu-small,old,eu_small_syn_subset_ee96431827,2018-04-30,548.079,75.789,219.026
eu-small,old,eu_small_syn_subset_ee96431827,2018-05-31,553.37,76.789,222.76
eu-small,old,eu_small_syn_subset_ee96431827,2018-06-30,544.529,75.491,220.907
eu-small,old,eu_small_syn_subset_ee96431827,2018-07-31,561.011,75.138,223.879
eu-small,old,eu_small_syn_subset_ee96431827,2018-08-31,561.482,74.059,222.191
eu-small,old,eu_small_syn_subset_ee96431827,2018-09-30,552.994,72.487,218.48
eu-small,old,eu_small_syn_subset_ee96431827,2018-10-31,514.107,67.243,202.543
eu-small,old,eu_small_syn_subset_ee96431827,2018-11-30,495.207,65.63,196.889
eu-small,old,eu_small_syn_subset_ee96431827,2018-12-31,461.894,61.381,185.205
eu-small,old,eu_small_syn_subset_ee96431827,2019-01-31,509.372,66.922,201.51
eu-small,old,eu_small_syn_subset_ee96431827,2019-02-28,521.821,68.056,208.827
eu-small,old,eu_small_syn_subset_ee96431827,2019-03-31,529.264,67.89,212.079
eu-small,old,eu_small_syn_subset_ee96431827,2019-04-30,560.751,70.389,221.71
eu-small,old,eu_small_syn_subset_ee96431827,2019-05-31,536.938,65.074,209.548
eu-small,old,eu_small_syn_subset_ee96431827,2019-06-30,555.612,66.789,217.106
eu-small,old,eu_small_syn_subset_ee96431827,2019-07-31,558.516,65.623,216.857
eu-small,old,eu_small_syn_subset_ee96431827,2019-08-31,551.757,64.022,214.374
eu-small,old,eu_small_syn_subset_ee96431827,2019-09-30,577.466,66.81,221.769
eu-small,old,eu_small_syn_subset_ee96431827,2019-10-31,601.409,67.696,228.092
eu-small,old,eu_small_syn_subset_ee96431827,2019-11-30,640.225,69.22,238.247
eu-small,old,eu_small_syn_subset_ee96431827,2019-12-31,665.45,71.82,248.576
eu-small,old,eu_small_syn_subset_ee96431827,2020-01-31,651.001,70.3,244.86
eu-small,old,eu_small_syn_subset_ee96431827,2020-02-29,600.257,63.949,225.511
eu-small,old,eu_small_syn_subset_ee96431827,2020-03-31,474.029,49.362,177.853
eu-small,old,eu_small_syn_subset_ee96431827,2020-04-30,547.382,54.94,197.835
eu-small,old,eu_small_syn_subset_ee96431827,2020-05-31,571.613,57.565,207.922
eu-small,old,eu_small_syn_subset_ee96431827,2020-06-30,583.348,58.049,210.175
eu-small,old,eu_small_syn_subset_ee96431827,2020-07-31,602.244,56.827,212.543
eu-small,old,eu_small_syn_subset_ee96431827,2020-08-31,642.971,59.888,223.624
eu-small,old,eu_small_syn_subset_ee96431827,2020-09-30,645.325,58.657,221.794
eu-small,old,eu_small_syn_subset_ee96431827,2020-10-31,621.543,55.082,211.827
eu-small,old,eu_small_syn_subset_ee96431827,2020-11-30,720.87,65.834,244.191
eu-small,old,eu_small_syn_subset_ee96431827,2020-12-31,761.13,70.598,258.068
eu-small,old,eu_small_syn_subset_ee96431827,2021-01-31,775.764,70.107,259.509
eu-small,old,eu_small_syn_subset_ee96431827,2021-02-28,801.495,72.593,269.48
eu-small,old,eu_small_syn_subset_ee96431827,2021-03-31,855.35,75.075,285.166
eu-small,old,eu_small_syn_subset_ee96431827,2021-04-30,903.29,77.049,295.184
eu-small,old,eu_small_syn_subset_ee96431827,2021-05-31,931.18,78.604,303.333
eu-small,old,eu_small_syn_subset_ee96431827,2021-06-30,933.314,77.95,301.721
eu-small,old,eu_small_syn_subset_ee96431827,2021-07-31,972.077,81.152,313.392
eu-small,old,eu_small_syn_subset_ee96431827,2021-08-31,1004.867,83.742,323.837
eu-small,old,eu_small_syn_subset_ee96431827,2021-09-30,970.504,78.502,310.282
eu-small,old,eu_small_syn_subset_ee96431827,2021-10-31,1020.334,79.941,322.276
eu-small,old,eu_small_syn_subset_ee96431827,2021-11-30,977.489,76.765,312.212
eu-small,old,eu_small_syn_subset_ee96431827,2021-12-31,1030.26,79.916,326.39
eu-small,old,eu_small_syn_subset_ee96431827,2022-01-31,977.177,73.069,306.591
