market,version,result_type,source_file,metric,label,candidate_type,buckets,components,component_count,coverage,ratio_cagr,top_worst_ratio_return,ratio_max_drawdown,tracking_error,avg_turnover,robust_score,max_component_robust,max_component_ratio_cagr,max_component_top_worst,synergy_score,classification,left_out,left_out_bucket,full_model_metric,full_robust_score,without_robust_score,loo_contribution,full_ratio_cagr,without_ratio_cagr,ratio_contribution,benchmark,side,status,message,start_date,run_dir,family,role,direction,non_null_rows,first_date,last_date,avg_names_per_month,note,days,avg_holdings,valid,cagr,vol,sharpe,max_drawdown,ratio_return,information_ratio,rolling_3y_min_ratio_cagr,annual_active_hit_rate,perf_ptf,perf_bench,top_worst_ratio_max_drawdown,worst_ratio_return,theme,inputs,min_count,pass_gate,fail_reasons
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_08e95a53d5,quality_improvement + deleveraging,family_subset,quality_improvement|deleveraging,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_deleveraging,2.0,,0.07301534218549,8.872889842107835,-0.069924596604993,0.0457506333939872,0.5639694566270068,6.564291033817125,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_6d32f9616c,quality_improvement + earnings_yield_improvement + deleveraging,family_subset,quality_improvement|earnings_yield_improvement|deleveraging,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_earnings_yield_improvement|sp500_syn_bucket_deleveraging,3.0,,0.0721147118479832,7.472996665722794,-0.0801968833928039,0.0507698381502414,0.6620898797870777,5.788555909769062,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_b3c0d0fc7d,revision + quality_improvement + deleveraging,family_subset,revision|quality_improvement|deleveraging,sp500_syn_bucket_revision|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_deleveraging,3.0,,0.0657753997222347,6.184944341886453,-0.0671030114178322,0.0545649365261016,0.4545681275157543,4.856934950424421,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_ee96431827,quality_improvement + deleveraging + value_improvement,family_subset,quality_improvement|deleveraging|value_improvement,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_deleveraging|sp500_syn_bucket_value_improvement,3.0,,0.0623735246598562,6.634664228007829,-0.0983899669222762,0.0556608849653157,0.7356501822165804,4.850301492217029,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_27b784f1d4,growth + quality_improvement + deleveraging,family_subset,growth|quality_improvement|deleveraging,sp500_syn_bucket_growth|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_deleveraging,3.0,,0.0618898169422534,5.660632324608052,-0.0750040671899162,0.057382238823215,0.3914563849420294,4.398372567340738,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_9ddbd3a47c,quality_improvement + deleveraging + risk_decline,family_subset,quality_improvement|deleveraging|risk_decline,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_deleveraging|sp500_syn_bucket_risk_decline,3.0,,0.0598501791457912,5.630327039082806,-0.1078991291369361,0.0485350070453618,0.7435211124641523,4.237033314783142,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_full_bucket_equal,all selected buckets equal-weight,full_model,revision|growth|value_level|quality_level|quality_improvement|earnings_yield_improvement|deleveraging|value_improvement|dividend_growth|risk_decline,sp500_syn_bucket_revision|sp500_syn_bucket_growth|sp500_syn_bucket_value_level|sp500_syn_bucket_quality_level|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_earnings_yield_improvement|sp500_syn_bucket_deleveraging|sp500_syn_bucket_value_improvement|sp500_syn_bucket_dividend_growth|sp500_syn_bucket_risk_decline,10.0,,0.0628161992094631,4.109173784177347,-0.1042808488408305,0.0526226523387269,0.5318825182805674,3.639303536193531,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_cdefeb1ebb,quality_improvement + earnings_yield_improvement + value_improvement,family_subset,quality_improvement|earnings_yield_improvement|value_improvement,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_earnings_yield_improvement|sp500_syn_bucket_value_improvement,3.0,,0.0564731339596897,4.059548144995162,-0.0780111809933943,0.0548142491591456,0.7646899169821072,3.363290940861475,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_80578e9e0e,value_level + quality_improvement + deleveraging,family_subset,value_level|quality_improvement|deleveraging,sp500_syn_bucket_value_level|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_deleveraging,3.0,,0.0647478457865959,3.281327166723057,-0.1643558174477678,0.0630419080795401,0.3909196547533286,3.1262171633864426,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_e797b03b9e,quality_improvement + value_improvement,family_subset,quality_improvement|value_improvement,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_value_improvement,2.0,,0.0547360832834089,3.8738786741270586,-0.1439427430539681,0.0600278247945644,0.7928336865110672,3.044408033761359,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
