market,benchmark,version,version_label,candidate_id,label,group,kind,top_cagr,active_cagr,top_worst_cagr,top_worst_terminal,robust_score,coverage,turnover,start_date,end_date,series_points,component_count,subset_keys,thesis,economics,source_run,source_document
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_subset_e5c1a446e9,盈利预期上修 + 质量改善 + 估值改善,旧基线 · family subset,family_subset,0.17165826511704063,0.06761499269009241,0.14870851355728654,10.08659535666933,6.519903672701893,0.9689409411784646,0.5480160118866501,2009-10-30,2026-07-02,202,9,revision|quality_improvement|value_improvement,全样本最强的三桶组合；显示改善信号，而不是静态价值。,盈利预期上修表示分析师正在确认尚未完全进入价格的经营改善；质量改善反映利润率或资本效率的边际提升；估值改善与基本面改善同步时，更可能是重估而非价值陷阱。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_subset_eba89b8a51,PMOM + 质量改善 + 去杠杆,旧基线 · family subset,family_subset,0.17686668999223398,0.07236090935419837,0.14269989060723276,9.242178341135403,6.18279276600177,0.7694087338242896,0.4089784871329648,2009-10-30,2026-07-02,202,8,pmom|quality_improvement|deleveraging,价格确认与经营、资产负债表改善共同出现。,价格动量表示市场正在用交易行为确认基本面信息；质量改善反映利润率或资本效率的边际提升；去杠杆降低财务脆弱性，并提高盈利转化为股东回报的确定性。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_subset_b3c0d0fc7d,盈利预期上修 + 质量改善 + 去杠杆,旧基线 · family subset,family_subset,0.17052084321122507,0.0665785738674578,0.1428615769425412,9.264003267174079,5.89330911915407,0.7730697197481378,0.4390440873051015,2009-10-30,2026-07-02,202,9,revision|quality_improvement|deleveraging,盈利可见度与基本面改善的组合。,盈利预期上修表示分析师正在确认尚未完全进入价格的经营改善；质量改善反映利润率或资本效率的边际提升；去杠杆降低财务脆弱性，并提高盈利转化为股东回报的确定性。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_subset_2543debc1d,PMOM + 质量改善 + 盈利收益率改善,旧基线 · family subset,family_subset,0.16355513307312042,0.06023141889951056,0.14602791001948123,9.70129420532512,5.880548192117595,0.9763730815840544,0.535817627654517,2009-10-30,2026-07-02,202,8,pmom|quality_improvement|earnings_yield_improvement,价格确认、盈利改善与估值重估并行。,价格动量表示市场正在用交易行为确认基本面信息；质量改善反映利润率或资本效率的边际提升；盈利收益率改善意味着盈利相对价格变得更有吸引力。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_pair_8dbe63d33df5,去杠杆 + 利润率改善,旧基线 · pair,pair,0.17279772163553164,0.06940081697975398,0.13150863876468022,7.534185316533987,5.017244775969491,0.7541376767993492,0.341963465223801,2010-02-26,2026-07-02,198,2,,最强直接 pair 协同：净债务/EBITDA 下降与经营利润率改善。,去杠杆降低财务脆弱性，并提高盈利转化为股东回报的确定性；质量改善反映利润率或资本效率的边际提升。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_pair_56f732432d80,Oper Margin directional_delta lag3 + EPS NTM 3M Growth,旧基线 · pair,pair,0.16475846263101457,0.06207032000764756,0.1205367177489185,6.42492337376895,4.277569807501403,0.9610172795145804,0.4661651224470705,2010-02-26,2026-07-02,198,2,,利润率改善被预期上修确认。 六段 LORO 中训练协同在 4/6 个被留出阶段再次确认。,质量改善反映利润率或资本效率的边际提升；盈利预期上修表示分析师正在确认尚未完全进入价格的经营改善。 利润率改善提供经营事实，EPS NTM 3M Growth 提供前瞻预期确认，两者跨 regime 的互补增益达到严格协同门槛。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_pair_86df394a53f2,PMOM + 利润率改善,旧基线 · pair,pair,0.15084484698718503,0.04938336499216245,0.13056944238046175,7.432617684520423,4.234765942512884,0.9613986322149812,0.3964142964916506,2010-02-26,2026-07-02,198,2,,价格趋势与盈利能力改善相互验证。,价格动量表示市场正在用交易行为确认基本面信息；质量改善反映利润率或资本效率的边际提升。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_pair_5937db8297d4,PMOM + ROE 改善,旧基线 · pair,pair,0.14890219190004328,0.04761197944205908,0.12849386453259837,7.21269957561915,4.010203122798655,0.9515851560579996,0.415581718855761,2010-02-26,2026-07-02,198,2,,价格确认与资本回报率改善相结合。,价格动量表示市场正在用交易行为确认基本面信息；质量改善反映利润率或资本效率的边际提升。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_pair_97a8dca0503b,盈利收益率改善 + 利润率改善,旧基线 · pair,pair,0.15132635227761004,0.04982241952088584,0.12380257242549808,6.737935452851305,3.923060778146633,0.9600681350158048,0.6821490296616782,2010-02-26,2026-07-02,198,2,,估值重估不脱离盈利质量改善。,盈利收益率改善意味着盈利相对价格变得更有吸引力；质量改善反映利润率或资本效率的边际提升。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
stoxx600,STOXX EUROPE 600,old,旧基线,stoxx600_syn_full_bucket_equal,所有通过桶等权,旧基线 · full model,full_model,0.15511268495510833,0.052538660307569485,0.12938430142105783,7.601736079658693,4.58818133525484,0.9901187278073914,0.5168059057350832,2009-10-30,2026-07-02,202,21,,诊断基准：并非变量越多越好，需由 leave-one-out 约束。,盈利预期上修表示分析师正在确认尚未完全进入价格的经营改善；价格动量表示市场正在用交易行为确认基本面信息；前瞻增长强调未来盈利兑现，而不是依赖历史增速；质量改善反映利润率或资本效率的边际提升；盈利收益率改善意味着盈利相对价格变得更有吸引力；去杠杆降低财务脆弱性，并提高盈利转化为股东回报的确定性；估值改善与基本面改善同步时，更可能是重估而非价值陷阱；风险下降降低尾部损失和资本成本压力。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\stoxx600_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\stoxx600-factor-explorer.html
