market,version,candidate_id,date,top,worst,benchmark
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2009-10-30,102.281,99.496,101.236
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2009-11-30,102.801,103.413,102.556
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2009-12-31,109.291,108.949,108.841
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-01-29,110.138,108.955,105.921
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-02-26,109.537,107.737,105.55
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-03-31,119.805,115.152,113.603
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-04-30,120.214,113.773,112.6
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-05-31,113.419,107.845,107.277
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-06-30,111.363,106.4,106.706
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-07-30,119.325,111.377,112.166
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-08-31,117.98,109.469,110.679
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-09-30,124.126,112.048,114.537
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-10-29,128.09,112.55,117.522
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-11-30,127.106,111.293,115.795
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2010-12-31,135.166,118.091,121.954
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-01-31,135.966,120.547,124.122
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-02-28,139.057,122.584,127.17
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-03-31,136.517,118.534,122.912
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-04-29,141.7,122.426,127.222
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-05-31,141.107,121.703,127.315
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-06-30,138.692,119.076,123.961
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-07-29,136.437,112.463,120.523
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-08-31,123.269,97.39,107.993
stoxx600,old,stoxx600_syn_subset_e5c1a446e9,2011-09-30,116.785,90.481,102.802
