file,line,operation,api_matches,canonical_reference,text
DATA_CONTRACT.md,52,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_screen_aggregate, read_returns"
DATA_CONTRACT.md,55,read,read_screen_aggregate,True,screen = read_screen_aggregate()
DATA_CONTRACT.md,56,read,read_returns,False,returns = read_returns()
DATA_SOURCES.md,31,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_returns, read_screen_aggregate"
README.md,29,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_screen_aggregate, read_returns"
README.md,31,read,read_screen_aggregate,True,screen = read_screen_aggregate()
README.md,32,read,read_returns,False,returns = read_returns()
00_screen/说明文档/screen_returns_context.md,58,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_returns, read_screen_aggregate"
00_screen/说明文档/screen_returns_context.md,60,read,read_screen_aggregate,True,screen = read_screen_aggregate()
00_screen/说明文档/screen_returns_context.md,61,read,read_returns,False,returns = read_returns()
11_docs/ENVIRONMENT.md,63,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_screen_aggregate, read_returns"
16_factor_recommendation_model/build_report_html.py,86,read,read_csv,False,frame = pd.read_csv(path)
16_factor_recommendation_model/build_report_html.py,178,read,read_parquet,False,"panel = pd.read_parquet(OUTPUT_DIR / ""factor_recommendation_panel.parquet"")"
16_factor_recommendation_model/build_report_html.py,179,read,read_parquet,False,"history = pd.read_parquet(OUTPUT_DIR / ""factor_recommendation_history.parquet"")"
16_factor_recommendation_model/build_v2_report_html.py,24,read,read_csv,False,"factors = pd.read_csv(results / ""factor_definitions.csv"") if (results / ""factor_definitions.csv"").exists() else pd.DataFrame()"
16_factor_recommendation_model/build_v2_report_html.py,25,read,read_parquet,False,"panel = pd.read_parquet(results / ""factor_panel.parquet"") if (results / ""factor_panel.parquet"").exists() else pd.DataFrame()"
16_factor_recommendation_model/build_v2_report_html.py,26,read,read_csv,False,"gates = pd.read_csv(results / ""promotion_gate.csv"") if (results / ""promotion_gate.csv"").exists() else pd.DataFrame()"
16_factor_recommendation_model/build_v2_report_html.py,27,read,read_csv,False,"metrics = pd.read_csv(results / ""strategy_metrics.csv"") if (results / ""strategy_metrics.csv"").exists() else pd.DataFrame()"
16_factor_recommendation_model/build_v2_report_html.py,28,read,read_csv,False,"selection = pd.read_csv(results / ""model_selection_summary.csv"") if (results / ""model_selection_summary.csv"").exists() else pd.DataFrame()"
16_factor_recommendation_model/build_v2_report_html.py,29,read,read_csv,False,"coverage = pd.read_csv(results / ""coverage_gate_results.csv"") if (results / ""coverage_gate_results.csv"").exists() else pd.DataFrame()"
