factor,months,mean_ic,median_ic,ic_hit_rate,top_minus_bottom_annualized,top_minus_bottom_monthly_mean,top_minus_bottom_hit_rate
margin,196,0.036926481118763295,0.03508771929824562,0.5459183673469388,0.03569362913411789,0.003536919425335416,0.5510204081632653
finaware_margin,196,0.03566992586508287,0.051754385964912275,0.5561224489795918,0.030726618224156343,0.0032255985470404833,0.5459183673469388
financial_quality_proxy,196,0.032382558286472476,0.03154024767801858,0.5510204081632653,0.025714072914938102,0.0027800613656011287,0.5510204081632653
finaware_quality,196,0.02682072829131652,0.039473684210526314,0.5663265306122449,0.016584799274349082,0.002005362725080578,0.5306122448979592
quality_style,196,0.02596538615446178,0.04035087719298246,0.576530612244898,0.022533464457539454,0.0024948428728378156,0.5510204081632653
score_excel_like_plain,196,0.024380410058760345,0.003611971104231166,0.5,0.01351916358421179,0.001757059691782177,0.5255102040816326
score_final,196,0.021289436827362528,-0.0043343653250774,0.4897959183673469,0.054249220682798915,0.0052823664363374,0.5663265306122449
score_excel_like_financial_aware,196,0.019725126892862405,0.041008771929824564,0.5612244897959183,0.01646037720014837,0.00195951544431218,0.5357142857142857
growth_style,196,0.017605068343126723,0.029721362229102165,0.5255102040816326,0.03796022607462679,0.003923561683098241,0.5459183673469388
valuation,196,0.01103559844990628,0.023735810113519093,0.5459183673469388,0.017886280717591685,0.0023580756276557237,0.5204081632653061
finaware_valuation,196,0.010583970430277374,0.019298245614035085,0.5408163265306123,0.02168379719145186,0.002603159392871259,0.5612244897959183
lowvol,196,0.0071119237168551595,0.008771929824561403,0.5153061224489796,-0.003781835844061998,0.000658495837333684,0.49489795918367346
growth,196,0.003919067627050825,0.017350361197110427,0.5357142857142857,0.021005523771898016,0.0025632022100586407,0.5255102040816326
value_style,196,4.936185000315463e-05,0.005263157894736842,0.5051020408163265,-0.028135446275580622,-0.001851829828025896,0.4489795918367347
financial_value_proxy,196,-0.004185226722267852,-0.015247678018575852,0.4744897959183674,-0.008314058689137704,-0.00017027063286777718,0.46938775510204084
lowvol_style,196,-0.008775352246161622,0.010526315789473684,0.5255102040816326,-0.03367533714001636,-0.002182163827183546,0.46938775510204084
momentum,196,-0.00882488340518488,2.7792345698043007e-05,0.5,-0.0030950534975547894,0.00035270991189852375,0.5204081632653061
momentum_style,196,-0.01155488511193951,-0.010526315789473686,0.4744897959183674,-0.0005870704261587978,0.0007390341643202298,0.4744897959183674
finaware_leverage,196,-0.03385419957456667,-0.035964912280701755,0.4336734693877551,-0.04383462409863781,-0.0030798427241673426,0.44387755102040816
leverage,196,-0.041347896879978134,-0.030637254901960786,0.44387755102040816,-0.05619848204049627,-0.004151078329696291,0.42857142857142855
