Date,sector_code,leverage,leverage_coverage_n,margin,margin_coverage_n,valuation,valuation_coverage_n,momentum,momentum_coverage_n,growth,growth_coverage_n,lowvol,lowvol_coverage_n,quality_style,quality_style_coverage_n,value_style,value_style_coverage_n,growth_style,growth_style_coverage_n,momentum_style,momentum_style_coverage_n,lowvol_style,lowvol_style_coverage_n,financial_quality_proxy,financial_quality_proxy_coverage_n,financial_value_proxy,financial_value_proxy_coverage_n,finaware_leverage,finaware_leverage_coverage_n,finaware_margin,finaware_margin_coverage_n,finaware_quality,finaware_quality_coverage_n,finaware_valuation,finaware_valuation_coverage_n,fs_sector_pillar_score,fs_sector_pillar_score_coverage_n,fs_sector_factor_score,fs_sector_factor_score_coverage_n,fs_sector_reco_score,fs_sector_reco_score_coverage_n,eu_momentum_revision_score,eu_momentum_revision_score_coverage_n,sector_weight,constituents,sector_name,score_excel_like_plain,score_excel_like_financial_aware,score_final_screen_only,score_final_fs_sector,score_final_fs_sector_reco_blend,score_final_raw,score_final_raw_rank,score_final_smoothed_6m,score_final,rank,recommendation
2026-07-31,16,5.569032362772495,69.0,7.941959933483023,69,6.294827371510059,69.0,9.997936927876724,69,6.046007719951185,69,3.1876154665164593,69,6.537167051316202,69,3.785972596982544,69,6.905952000531653,69,5.883672105039197,69,6.812384686410792,69,7.3434029498753866,69,4.558079580771446,69,5.569032362772495,69,7.941959933483023,69,6.537167051316202,69,6.294827371510059,69,8.57477108255797,69.0,8.57477108255797,69.0,,,6.088534247990256,69,0.4319817486933685,69,Technology,6.506229963684991,6.506229963684991,6.4159972114131305,7.4953841469855504,,7.4953841469855504,10.0,10.0,7.4953841469855504,1.0,Positive
2026-07-31,4,6.329294607856154,8.0,4.441152691384965,8,7.636655066469249,8.0,9.951013789260308,8,1.9738110987443154,8,1.301875744120822,8,4.396253314357137,8,2.6703089555834847,8,3.621116723739939,8,4.609936448375757,8,8.698124233235905,8,4.4665452125289535,8,4.214340997083331,8,6.329294607856154,8,4.441152691384965,8,4.396253314357137,8,7.636655066469249,8,6.775956284153006,8.0,6.775956284153006,8.0,,,4.461711458648962,8,0.006737845126412353,8,Chemicals,5.272300499639303,5.272300499639303,6.016454190413193,6.3962052372831,,6.3962052372831,9.473684210526315,6.929824561403508,6.3962052372831,2.0,Positive
2026-07-31,1,1.8869748626405793,5.0,1.24512219300939,5,8.582502199192175,5.0,9.999999999999998,5,7.839855191375116,5,7.633368097150655,5,3.674688800506832,5,1.4923626215456858,5,5.886864563756965,5,5.707414950273396,5,2.3666322139906084,5,2.1724710049176754,5,3.6130346118939913,5,1.8869748626405793,5,1.24512219300939,5,3.674688800506832,5,8.582502199192175,5,,,,,,,4.91552015016159,5,0.016201327863509207,5,Automobiles and Parts,6.1979704238946525,6.1979704238946525,6.128595499849504,6.128595499849504,,6.128595499849504,8.947368421052632,9.385964912280702,6.128595499849504,3.0,Positive
2026-07-31,3,4.02896150543323,7.0,4.328216627526174,7,4.866876209741747,7.0,10.000000000000002,7,5.54357703776365,7,3.480362205988199,7,5.684669982284203,7,4.797563538520773,7,5.161376847508953,7,5.980362502358567,7,6.519637942461089,7,5.225863885456797,7,5.097273143143641,7,4.02896150543323,7,4.328216627526174,7,5.684669982284203,7,4.866876209741747,7,6.775956284153007,7.0,6.775956284153007,7.0,,,6.298768426432013,7,0.005781054822661735,7,Basic Resources,5.374665597742166,5.374665597742166,5.2757730960129745,6.02586469008299,,6.02586469008299,8.421052631578947,4.12280701754386,6.02586469008299,4.0,Neutral
2026-07-31,10,2.3,1.0,4.814377592586175,22,2.9209812483461444,18.0,10.0,22,2.9182647826464567,21,4.577936283913227,22,5.888328483529639,22,6.199403565003392,22,4.53820616024557,22,4.276225929224245,22,5.422063724483126,22,4.836914711133204,22,5.657177647990799,22,4.836914711133204,22,4.836914711133204,22,4.836914711133204,22,5.657177647990799,22,5.92691256830601,22.0,5.92691256830601,22.0,,,4.486791550407227,22,0.01659330096504574,22,Insurance,4.5885933179153335,5.471201356136149,5.247046179562002,5.586979373934006,,5.586979373934006,7.894736842105264,7.719298245614034,5.586979373934006,5.0,Neutral
2026-07-31,6,6.996479303101518,3.0,5.164926286607202,30,7.137069085397109,24.0,9.845879287427854,30,4.948656241256192,30,4.09025486766231,30,5.369278476483892,30,3.6638945087436263,30,5.93275502194778,30,5.091681438243574,30,5.909745033564345,30,5.751785082210284,30,4.72345312480322,30,5.751785082210284,30,5.751785082210284,30,5.751785082210284,30,4.72345312480322,30,5.92691256830601,30.0,5.92691256830601,30.0,,,5.218193528804265,30,0.047776664187284525,30,Financial Services,6.363877511908697,5.851968947595023,5.237619103506752,5.582265835906381,,5.582265835906381,7.368421052631579,7.63157894736842,5.582265835906381,6.0,Neutral
2026-07-31,14,3.831372593771851,31.0,5.141241439700804,31,6.68845570315824,31.0,9.946737495705113,31,5.373528610646496,31,4.648070532704306,31,5.408083238683082,31,3.6312199994727057,31,5.627895981284385,31,6.033383617873046,31,5.351929421400837,31,5.39674134587226,31,4.6081168665093974,31,5.39674134587226,31,5.39674134587226,31,5.39674134587226,31,4.6081168665093974,31,5.92691256830601,31.0,5.92691256830601,31.0,,,4.9777338999576575,31,0.018844493273870413,31,Real Estate,5.938234395947802,5.894989366218304,5.002429106190829,5.46467083724842,,5.46467083724842,6.842105263157895,7.017543859649123,5.46467083724842,7.0,Neutral
2026-07-31,15,4.389042447253859,25.0,4.518933423326926,25,6.186743332651287,25.0,9.974310751681372,25,5.983969469211403,25,5.15106100250949,25,5.9544110964750026,25,3.6439571759772793,25,6.88870293417932,25,7.1252915475409795,25,4.848938715134505,25,5.689044577003257,25,4.622078608341845,25,4.389042447253859,25,4.518933423326926,25,5.9544110964750026,25,6.186743332651287,25,4.735109289617486,25.0,4.735109289617486,25.0,,,5.996398764798393,25,0.07752403780389423,25,Retail,6.0340100711057225,6.0340100711057225,6.070577214563144,5.402843252090316,,5.402843252090316,6.315789473684211,7.19298245614035,5.402843252090316,8.0,Neutral
2026-07-31,2,,,5.844350110318907,13,,,10.0,13,5.237429416964597,13,3.9008937681897127,13,4.7202755226986834,13,5.597648767331182,13,6.39834910463435,13,7.598947929722573,13,6.099106133593936,13,4.7202755226986834,13,5.036717725418344,13,4.7202755226986834,13,4.7202755226986834,13,4.7202755226986834,13,5.036717725418344,13,5.92691256830601,13.0,5.92691256830601,13.0,,,7.164498147057331,13,0.035721302040027506,13,Banks,6.245668323868303,5.602598659328336,4.8784966240585135,5.402704596182262,,5.402704596182262,5.7894736842105265,5.438596491228069,5.402704596182262,9.0,Neutral
2026-07-31,11,5.471766426051572,13.0,7.371791297716096,13,5.72388502117013,13.0,9.981751872953746,13,6.211612037023351,13,3.870303546967925,13,5.083060822888883,13,4.805426716859604,13,6.784860846684591,13,3.3806988941492264,13,6.1296962106442825,13,6.00499372502669,13,4.734528443729805,13,5.471766426051572,13,7.371791297716096,13,5.083060822888883,13,5.72388502117013,13,5.346994535519126,13.0,5.346994535519126,13.0,,,3.1568698920638343,13,0.009837500048563,13,Media,6.43851836698047,6.43851836698047,5.403472922029506,5.375233728774316,,5.375233728774316,5.263157894736842,7.280701754385965,5.375233728774316,10.0,Neutral
