Date,sector_code,leverage,leverage_coverage_n,margin,margin_coverage_n,valuation,valuation_coverage_n,momentum,momentum_coverage_n,growth,growth_coverage_n,lowvol,lowvol_coverage_n,quality_style,quality_style_coverage_n,value_style,value_style_coverage_n,growth_style,growth_style_coverage_n,momentum_style,momentum_style_coverage_n,lowvol_style,lowvol_style_coverage_n,financial_quality_proxy,financial_quality_proxy_coverage_n,financial_value_proxy,financial_value_proxy_coverage_n,finaware_leverage,finaware_leverage_coverage_n,finaware_margin,finaware_margin_coverage_n,finaware_quality,finaware_quality_coverage_n,finaware_valuation,finaware_valuation_coverage_n,fs_sector_pillar_score,fs_sector_pillar_score_coverage_n,fs_sector_factor_score,fs_sector_factor_score_coverage_n,fs_sector_reco_score,fs_sector_reco_score_coverage_n,eu_momentum_revision_score,eu_momentum_revision_score_coverage_n,sector_weight,constituents,sector_name,score_excel_like_plain,score_excel_like_financial_aware,score_final_screen_only,score_final_fs_sector,score_final_fs_sector_reco_blend,score_final_raw,score_final_raw_rank,score_final_smoothed_6m,score_final,rank,recommendation
2026-07-31,3,5.222104562580077,24.0,5.307029090518729,24,4.124124479866744,24.0,9.871103351096973,24,6.828685795625529,24,5.185058492115036,24,4.76974166324396,24,5.268878668868435,24,5.202929238595923,24,6.324117320897483,24,4.814941689007594,24,4.844261594630808,24,5.092058387701532,24,5.222104562580077,24,5.307029090518729,24,4.76974166324396,24,4.124124479866744,24,5.416561580496006,24.0,5.416561580496006,24.0,,,5.603646796110704,24,0.02625261606419119,24,Basic Resources,6.089684295300515,6.089684295300515,4.4469330715553514,4.931747326025679,,5.603646796110704,6.315789473684211,9.298245614035087,9.298245614035087,1.0,Positive
2026-07-31,2,,,5.100237576302839,54,6.4,1.0,10.0,54,6.1726473838487435,54,5.7410429882248915,54,4.3260107502951595,54,5.863589316822093,54,6.4850929034109015,54,7.043889541842104,54,4.258957142663777,54,4.350725573496996,54,5.151439971021602,54,4.350725573496996,54,4.350725573496996,54,4.350725573496996,54,5.151439971021602,54,5.236443883984867,54.0,5.236443883984867,54.0,,,6.923968311110263,54,0.15678756886672549,54,Banks,6.682785589675295,5.961096915014871,4.7510827722592985,4.993763328122083,,6.923968311110263,10.0,9.210526315789474,9.210526315789474,2.0,Positive
2026-07-31,16,5.737482945937871,33.0,6.689655248617734,33,6.89459674869069,33.0,9.695682066283553,33,6.9223781758478244,33,4.6137018193822135,33,5.70419764113482,33,3.267292693115324,33,7.196540424082983,33,6.495253009415513,33,5.386298223927439,33,6.267903477275886,33,4.405437905603876,33,5.737482945937871,33,6.689655248617734,33,5.70419764113482,33,6.89459674869069,33,7.263272099337674,33.0,7.263272099337674,33.0,,,6.719957071411208,33,0.08632914118412728,33,Technology,6.75891616745998,6.75891616745998,6.299397194912755,6.781334647125215,,6.719957071411208,9.473684210526315,9.122807017543858,9.122807017543858,3.0,Positive
2026-07-31,19,4.119478734911328,29.0,4.817679063017271,29,5.587188304664274,29.0,9.99286671223786,29,5.462890138948188,29,4.178349775323012,29,5.297045954387701,29,4.370670047750358,29,5.390057920431844,29,6.283701829445738,29,5.8216501364957045,29,5.211182120957337,29,4.784393748914368,29,4.119478734911328,29,4.817679063017271,29,5.297045954387701,29,5.587188304664274,29,5.3560319461958805,29.0,5.3560319461958805,29.0,,,6.225505066883421,29,0.045127193641718,29,Utilities,5.693075454850322,5.693075454850322,5.442117129525988,5.399074537860934,,6.225505066883421,7.894736842105264,7.456140350877193,7.456140350877193,4.0,Neutral
2026-07-31,9,4.563679159831344,108.0,5.575652099023451,108,6.495825559261096,108.0,9.814267461685967,108,6.254256669186232,108,4.936355086479463,108,5.507117460948462,108,3.5334007433621784,108,6.48915208899154,108,6.856256958002041,108,5.063645022207274,108,5.842797633083046,108,4.5575741758091945,108,4.563679159831344,108,5.575652099023451,108,5.507117460948462,108,6.495825559261096,108,4.078184110970997,108.0,4.078184110970997,108.0,,,6.316963466140809,108,0.15472168171445855,108,Industrial Goods and Services,6.273339339244593,6.273339339244593,6.001471510104778,5.039827810537888,,6.316963466140809,8.421052631578947,7.192982456140352,7.192982456140352,5.0,Neutral
2026-07-31,15,5.4812932416697135,20.0,4.245139498721094,20,4.536958538605521,20.0,10.0,20,5.269409333082284,20,3.8831315331292853,20,5.962118424517002,20,5.055107908055644,20,5.914646156607802,20,6.1069327918104195,20,6.116868498299621,20,5.628485384791324,20,5.324902843732066,20,5.4812932416697135,20,4.245139498721094,20,5.962118424517002,20,4.536958538605521,20,,,,,,,5.05557952878105,20,0.018348057564205857,20,Retail,5.569322024201316,5.569322024201316,5.249538481561261,5.249538481561261,,5.05557952878105,4.2105263157894735,6.929824561403508,6.929824561403508,6.0,Neutral
2026-07-31,12,3.7043945629406863,18.0,4.789560821801393,18,4.614368223578728,18.0,10.0,18,4.977633599735179,18,4.383570843288434,18,4.988050757663128,18,5.1092996758116405,18,4.655018647086566,18,3.7685176249500003,18,5.616429074111456,18,4.662883248003556,18,5.051758040047856,18,3.7043945629406863,18,4.789560821801393,18,4.988050757663128,18,4.614368223578728,18,4.403530895334174,18.0,4.403530895334174,18.0,,,5.1833845599987205,18,0.061834883364422555,18,Energy,5.411588008557403,5.411588008557403,4.801209490620928,4.602370192977551,,5.1833845599987205,4.7368421052631575,6.578947368421052,6.578947368421052,7.0,Neutral
2026-07-31,6,2.433108729493924,13.0,6.311948843262736,42,7.364682834866839,26.0,9.179226201404743,42,5.928795114909144,37,5.109051279405411,42,5.9406930454567455,42,4.144618570735239,42,5.297742970916303,42,5.4169366923916185,42,4.890948489044668,42,6.01543013715735,42,4.700654346266013,42,6.01543013715735,42,6.01543013715735,42,6.01543013715735,42,4.700654346266013,42,5.236443883984867,42.0,5.236443883984867,42.0,,,5.633602055885675,42,0.042233187068499635,42,Financial Services,6.054468833890467,6.158097869383336,5.358042241711681,5.297243062848274,,5.633602055885675,6.842105263157895,6.4035087719298245,6.4035087719298245,8.0,Neutral
2026-07-31,17,5.965854908643489,21.0,4.419513184406807,21,4.49424836289591,21.0,9.992489708489213,21,5.785232959867895,21,5.542338692425437,21,4.375727599236481,21,5.366887900143193,21,5.375890904380147,21,5.279173902676511,21,4.4576614529524194,21,4.446205006494978,21,5.112149609923767,21,5.965854908643489,21,4.419513184406807,21,4.375727599236481,21,4.49424836289591,21,4.632198402690205,21.0,4.632198402690205,21.0,,,5.038081454129357,21,0.026394036067769112,21,Telecommunications,6.033279636121459,6.033279636121459,4.434987981066195,4.5335931918782,,5.038081454129357,3.6842105263157894,5.3508771929824555,5.3508771929824555,9.0,Neutral
2026-07-31,7,7.949811252432057,27.0,7.331782203915165,27,6.186066585268589,26.0,10.0,27,4.544295972043707,27,5.492965636627711,27,4.503776541243921,27,4.296048608117534,27,4.684718142836566,27,7.430039468144568,27,4.507034152335017,27,5.856387648415159,27,4.5913792855649795,27,7.949811252432057,27,7.331782203915165,27,4.503776541243921,27,6.186066585268589,26,3.918873476250525,27.0,3.918873476250525,27.0,,,6.482378838551203,27,0.05118609129500811,27,"Food, Beverage and Tobacco",6.917486941714539,6.917486941714539,5.344921563256255,4.63189751975339,,6.482378838551203,8.947368421052632,5.2631578947368425,5.2631578947368425,10.0,Neutral
