factor,months,mean_ic,median_ic,ic_hit_rate,top_minus_bottom_annualized,top_minus_bottom_monthly_mean,top_minus_bottom_hit_rate
fs_sector_reco_score,181,0.06349046677954476,0.04216962109428454,0.6077348066298343,0.08165964435647477,0.0072953518923650615,0.580110497237569
score_final_fs_sector_reco_blend,181,0.058200485777329246,0.07120743034055728,0.5966850828729282,0.0598241657715366,0.005577141179108842,0.6022099447513812
score_final_smoothed_6m,198,0.0390902892462179,0.050055111526644824,0.5959595959595959,0.026220848491389948,0.0031280351278034366,0.5555555555555556
score_final_fs_sector,198,0.0382085822101302,0.06754385964912281,0.601010101010101,0.07466817418522842,0.007012698433703209,0.5757575757575758
score_final_raw,198,0.0382085822101302,0.06754385964912281,0.601010101010101,0.07466817418522842,0.007012698433703209,0.5757575757575758
score_final_raw_rank,198,0.0382085822101302,0.06754385964912281,0.601010101010101,0.07466817418522842,0.007012698433703209,0.5757575757575758
score_final,198,0.0382085822101302,0.06754385964912281,0.601010101010101,0.07466817418522842,0.007012698433703209,0.5757575757575758
margin,198,0.03681930241527765,0.03508771929824562,0.5454545454545454,0.037145379226115605,0.003658157741945416,0.5505050505050505
finaware_margin,198,0.034777991473037916,0.04907120743034056,0.5555555555555556,0.032221528670626,0.003349981518986796,0.5454545454545454
fs_sector_factor_score,198,0.03299940400376417,0.035878731257122314,0.5454545454545454,0.050473030614069936,0.00503964119451267,0.5505050505050505
financial_quality_proxy,198,0.03128459517778403,0.02543859649122807,0.5454545454545454,0.026358620348540862,0.002826061074431419,0.5555555555555556
quality_style,198,0.026500557692508156,0.04035087719298246,0.5757575757575758,0.026913738559453337,0.0028585488976461443,0.5555555555555556
fs_sector_pillar_score,198,0.026384244049697234,0.04625927039123126,0.5656565656565656,0.048863895299310345,0.004896431984910681,0.5555555555555556
finaware_quality,198,0.025991598127821036,0.039473684210526314,0.5656565656565656,0.018520409087084966,0.0021721696835199098,0.5303030303030303
score_excel_like_plain,198,0.023062018534154755,0.003611971104231166,0.5,0.008303484434223796,0.0013349669390212684,0.5202020202020202
score_final_screen_only,198,0.017459293658984066,-0.00521155830753354,0.48484848484848486,0.04074232536963596,0.004268768539231962,0.5606060606060606
eu_momentum_revision_score,198,0.017451866445674494,0.029824561403508774,0.5202020202020202,0.0568306510242631,0.0057368220220576594,0.5555555555555556
score_excel_like_financial_aware,198,0.017434796885261276,0.03859649122807017,0.5606060606060606,0.01487124370887094,0.0018276145555935043,0.5353535353535354
growth_style,198,0.016142461769396755,0.027089783281733743,0.5202020202020202,0.032470314504725595,0.0034857944459082894,0.5404040404040404
valuation,198,0.007828152526294943,0.023735810113519093,0.5404040404040404,0.008212168671982267,0.0016161797813301557,0.5202020202020202
finaware_valuation,198,0.007092337200696334,0.019298245614035085,0.5353535353535354,0.013185501560315505,0.0019539843380008354,0.5606060606060606
lowvol,198,0.0067388279075585545,0.008771929824561403,0.5151515151515151,-0.008446609394589077,0.0002679837285193778,0.4898989898989899
value_style,198,0.003752566949161371,0.007894736842105263,0.51010101010101,-0.016604265147711628,-0.0008141744925956269,0.45454545454545453
financial_value_proxy,198,0.0008898322752811941,-0.01349329205366357,0.4797979797979798,-0.0015559961653132115,0.00042703567003357,0.4696969696969697
growth,198,0.0002821038037756357,0.016473168214654284,0.5303030303030303,0.007187658339971925,0.001480181891518688,0.5202020202020202
lowvol_style,198,-0.008385454128488186,0.010526315789473684,0.5252525252525253,-0.028990501793360268,-0.001776261132613181,0.47474747474747475
momentum_style,198,-0.011712845691173862,-0.010526315789473686,0.47474747474747475,-0.0013313037462487909,0.0006813687133000709,0.47474747474747475
momentum,198,-0.012495342333856657,-0.016369095076407453,0.4797979797979798,-0.027098728442298214,-0.0016429321389882451,0.5050505050505051
finaware_leverage,198,-0.03344135368129176,-0.035964912280701755,0.43434343434343436,-0.0359688651948582,-0.0023808978383965756,0.4494949494949495
leverage,198,-0.04118042117268123,-0.030637254901960786,0.4444444444444444,-0.05125761460628686,-0.0037151298918067636,0.43434343434343436
