Date,sector_code,leverage,leverage_coverage_n,margin,margin_coverage_n,valuation,valuation_coverage_n,momentum,momentum_coverage_n,growth,growth_coverage_n,lowvol,lowvol_coverage_n,quality_style,quality_style_coverage_n,value_style,value_style_coverage_n,growth_style,growth_style_coverage_n,momentum_style,momentum_style_coverage_n,lowvol_style,lowvol_style_coverage_n,financial_quality_proxy,financial_quality_proxy_coverage_n,financial_value_proxy,financial_value_proxy_coverage_n,finaware_leverage,finaware_leverage_coverage_n,finaware_margin,finaware_margin_coverage_n,finaware_quality,finaware_quality_coverage_n,finaware_valuation,finaware_valuation_coverage_n,fs_sector_pillar_score,fs_sector_pillar_score_coverage_n,fs_sector_factor_score,fs_sector_factor_score_coverage_n,fs_sector_reco_score,fs_sector_reco_score_coverage_n,sector_weight,constituents,sector_name,score_excel_like_plain,score_excel_like_financial_aware,score_final_screen_only,score_final_fs_sector,score_final_fs_sector_reco_blend,score_final,next_date,sector_forward_return,return_coverage_n,rank,recommendation
2026-04-30,16,6.002706345915424,68.0,8.176459929462888,68,6.474716971444637,68.0,9.999036465485428,68,6.432627660913843,68,2.850831535234072,68,6.494898233932199,68,3.813247325067576,68,7.115753735162752,68,6.853415077342466,68,7.149168505808367,68,7.427198122949593,68,4.537041839597357,68,6.002706345915424,68,8.176459929462888,68,6.494898233932199,68,6.474716971444637,68,7.697603751292275,68.0,7.697603751292275,68.0,,,0.4279846753722811,68,Technology,6.6560631514093815,6.6560631514093815,6.484807602688418,7.091205676990347,,7.091205676990347,2026-05-31,0.13334887767326054,68,1.0,Positive
2026-04-30,1,1.5688822164381628,5.0,1.79583229546215,5,9.047016735224966,5.0,10.000000000000002,5,7.972815497850636,5,6.27363036770682,5,3.933008758096062,5,1.1969663490637812,5,6.095927737426391,5,6.3813857703745525,5,3.7263693569973917,5,2.4837928046886484,5,3.5934763277963357,5,1.5688822164381628,5,1.79583229546215,5,3.933008758096062,5,9.047016735224966,5,,,,,,,0.02005346841263357,5,Automobiles and Parts,6.109696185447123,6.109696185447123,6.490012746660514,6.490012746660514,,6.490012746660514,2026-05-31,0.15390299730332313,5,2.0,Positive
2026-04-30,6,6.958862018780026,3.0,5.356028732710785,30,7.138798888683761,24.0,9.871713711101531,30,4.860702126574013,30,4.23710897273946,30,5.3821609997976125,30,3.576961399411766,30,5.668442003595991,30,4.2948897897800675,30,5.762890846420208,30,5.796146881281267,30,4.688918524730436,30,5.796146881281267,30,5.796146881281267,30,5.796146881281267,30,4.688918524730436,30,6.347677595628416,30.0,6.347677595628416,30.0,,,0.04688688203096649,30,Financial Services,6.403869075098264,5.875122849617995,5.2425327030058515,5.795105149317134,,5.795105149317134,2026-05-31,0.02256589090258771,30,3.0,Positive
2026-04-30,10,2.3,1.0,4.7443032213485425,22,2.9554483018016553,18.0,9.988567953662233,22,3.2126154289873625,21,3.1314835484544643,22,5.855239169703633,22,6.141109644417166,22,4.727018256892567,22,3.9648638883906067,22,6.868516567622494,22,4.859138488737538,22,5.616093582892366,22,4.859138488737538,22,4.859138488737538,22,4.859138488737538,22,5.616093582892366,22,6.347677595628417,22.0,6.347677595628417,22.0,,,0.015361388289484043,22,Insurance,4.388736409042377,5.277839581911917,5.237616035814952,5.792646815721684,,5.792646815721684,2026-05-31,-0.026043527718950524,22,4.0,Neutral
2026-04-30,11,5.22042739504697,13.0,7.511360866428864,13,6.817584207668398,13.0,9.999999999999998,13,6.832541311224226,13,5.627615897031349,13,5.355222655359758,13,3.857070761576853,13,6.965240857767765,13,6.022398773522737,13,4.372384213142269,13,6.31095957571541,13,4.378037368428933,13,5.22042739504697,13,7.511360866428864,13,5.355222655359758,13,6.817584207668398,13,5.398770491803279,13.0,5.398770491803279,13.0,,,0.012068835418153144,13,Media,7.001588279566634,7.001588279566634,6.0864034315140785,5.742586961658679,,5.742586961658679,2026-05-31,-0.04328676159376864,13,5.0,Neutral
2026-04-30,14,3.9276002781739936,31.0,5.0197652461646145,31,6.557572813162952,31.0,10.0,31,5.383315382876948,31,4.627698012564357,31,5.329748088434923,31,3.7410776311918728,31,5.618770528943863,31,6.007366863428213,31,5.372302009802033,31,5.303753601380898,31,4.628287612673099,31,5.303753601380898,31,5.303753601380898,31,5.303753601380898,31,4.628287612673099,31,6.347677595628416,31.0,6.347677595628416,31.0,,,0.01911149209794816,31,Real Estate,5.919325288823811,5.874468035146034,4.966020607026999,5.656849101327707,,5.656849101327707,2026-05-31,-0.0053957835394845555,31,6.0,Neutral
2026-04-30,2,,,5.337012724605034,13,,,10.0,13,5.07160588125362,13,5.622279322192139,13,4.275014849970291,13,5.5691983003566845,13,6.2022673369520325,13,7.585150517434334,13,4.377720641002829,13,4.275014849970291,13,5.029734786755661,13,4.275014849970291,13,4.275014849970291,13,4.275014849970291,13,5.029734786755661,13,6.347677595628416,13.0,6.347677595628416,13.0,,,0.03381000082709791,13,Banks,6.507724482012699,5.712274948357,4.652374818362976,5.500026206995695,,5.500026206995695,2026-05-31,-0.03148862293352567,13,7.0,Neutral
2026-04-30,18,6.398892242162618,21.0,7.386367034006883,21,6.492980624901111,21.0,10.0,21,5.648795671785112,21,4.279037064628236,21,5.166547878437807,21,3.7895102170581745,21,6.197194433467078,21,4.899126963672546,21,5.720962935442831,21,6.4389377464932895,21,4.639235002957769,21,6.398892242162618,21,7.386367034006883,21,5.166547878437807,21,6.492980624901111,21,5.143169398907104,21.0,5.143169398907104,21.0,,,0.017426651971681504,21,Travel and Leisure,6.701012106247326,6.701012106247326,5.829764251669459,5.486466825288282,,5.486466825288282,2026-05-31,0.010446360640528568,21,8.0,Neutral
2026-04-30,8,5.868586235076691,49.0,6.199067713697176,55,5.789784186459396,55.0,9.842304846084906,55,5.140719227408924,55,4.329289646879656,55,5.416851721318489,55,4.3542820712328245,55,5.321895389894084,55,5.656361165393961,55,5.670710363894224,55,5.988555273154858,55,4.851907995443354,55,5.868586235076691,49,6.199067713697176,55,5.416851721318489,55,5.789784186459396,55,5.20068306010929,55.0,5.20068306010929,55.0,,,0.08204597338909672,55,Health Care,6.194958642601125,6.194958642601125,5.603317953888943,5.402000506999116,,5.402000506999116,2026-05-31,0.030795542851101348,55,9.0,Neutral
2026-04-30,4,6.458321161750858,8.0,4.875565833349426,8,7.934512397635499,8.0,9.999999999999998,8,2.172415997348121,8,1.1933537124565625,8,4.632245441584488,8,2.5691394015369733,8,3.9492913507836755,8,3.0872396324293585,8,8.80664625499629,8,4.985198437351985,8,4.204400069601974,8,6.458321161750858,8,4.875565833349426,8,4.632245441584488,8,7.934512397635499,8,4.48101092896175,8.0,4.48101092896175,8.0,,,0.007384550715125146,8,Chemicals,5.439028183756744,5.439028183756744,6.283378919609994,5.382194924285872,,5.382194924285872,2026-05-31,-0.021138371296779156,8,10.0,Neutral
