factor,months,mean_ic,median_ic,ic_hit_rate,top_minus_bottom_annualized,top_minus_bottom_monthly_mean,top_minus_bottom_hit_rate
fs_sector_reco_score,181,0.06594361033292793,0.04330519409944942,0.5911602209944752,0.08165964435647477,0.007295351892365062,0.580110497237569
score_final_fs_sector_reco_blend,181,0.05841714702746466,0.07120743034055728,0.5966850828729282,0.060861860661085565,0.005659029960768557,0.6077348066298343
improvement_quality_signal,194,0.052055399349361126,0.07543859649122807,0.5670103092783505,0.07068477994143096,0.0065760132651638105,0.5927835051546392
score_final_us_improved,194,0.04963967853619795,0.07729323046777133,0.6237113402061856,0.09481625789975134,0.00855940215226487,0.6288659793814433
score_final,197,0.04822473641938525,0.0738138222545014,0.6192893401015228,0.092910270123997,0.008399288406841541,0.6294416243654822
improvement_core_signal,194,0.04378597342355281,0.0456140350877193,0.5721649484536082,0.07397999653958176,0.006879732111481865,0.5927835051546392
score_final_smoothed_6m,197,0.03922666274422795,0.0544098341102314,0.5989847715736041,0.029499239501386,0.0033908943461117376,0.5532994923857868
score_final_fs_sector,197,0.03918621950516781,0.07017543859649124,0.5989847715736041,0.07611680420767697,0.007129852795527015,0.5786802030456852
score_final_raw,197,0.03918621950516781,0.07017543859649124,0.5989847715736041,0.07611680420767697,0.007129852795527015,0.5786802030456852
score_final_raw_rank,197,0.03918621950516781,0.07017543859649124,0.5989847715736041,0.07611680420767697,0.007129852795527015,0.5786802030456852
margin,197,0.037665210353444084,0.03508771929824562,0.5482233502538071,0.03368684374137598,0.0033742778705383595,0.5482233502538071
finaware_margin,197,0.03570259255184842,0.04912280701754386,0.5583756345177665,0.028754561300696757,0.0030645373012703047,0.5431472081218274
financial_quality_proxy,197,0.032173652255452004,0.02631578947368421,0.5482233502538071,0.02630218683278307,0.0028247948695756158,0.5532994923857868
fs_sector_factor_score,197,0.030655037249582313,0.03726726046135527,0.5431472081218274,0.049604557067236765,0.004975995556673167,0.5482233502538071
improvement_deleveraging_signal,194,0.028953789697419064,0.04166666666666667,0.5670103092783505,0.055250733436235544,0.005298611092656795,0.5876288659793815
quality_style,197,0.025744527038707544,0.031578947368421054,0.5736040609137056,0.02247252069492678,0.0024866398930220475,0.5532994923857868
finaware_quality,197,0.025669354036030656,0.03859649122807017,0.5634517766497462,0.014418009231310425,0.0018271748904402098,0.5279187817258884
fs_sector_pillar_score,197,0.02497712094989944,0.052988221300253456,0.5634517766497462,0.04726986028920965,0.0047722150388279806,0.5532994923857868
score_excel_like_plain,197,0.024880037507923284,0.007223942208462332,0.5025380710659898,0.013017037242460283,0.0017126497697866289,0.5228426395939086
score_final_screen_only,197,0.020477833131649675,-0.005159958720330237,0.4873096446700508,0.05157191885954404,0.005069497995035974,0.5634517766497462
score_excel_like_financial_aware,197,0.019722959982817596,0.04035087719298246,0.5634517766497462,0.01738399090285725,0.0020328375305431194,0.5380710659898477
improvement_value_signal,194,0.01823659740618982,0.029824561403508774,0.5515463917525774,0.022603653483537434,0.0026933724309039573,0.5257731958762887
growth_style,197,0.017159482013483995,0.027863777089783277,0.5228426395939086,0.0333432232482469,0.003560078926905578,0.5431472081218274
eu_momentum_revision_score,197,0.015946367860529193,0.028070175438596492,0.5177664974619289,0.0551267468238299,0.005605616488843382,0.5532994923857868
valuation,197,0.010586689925769936,0.023735810113519093,0.5431472081218274,0.01823907726635743,0.0023826136955334087,0.5228426395939086
finaware_valuation,197,0.010485717129491392,0.019298245614035085,0.5380710659898477,0.022586028277381764,0.002673253821156513,0.5634517766497462
lowvol,197,0.007182688731383547,0.010526315789473684,0.5177664974619289,-0.0046600294765519745,0.000580610158201406,0.49238578680203043
growth,197,0.00218931548040002,0.01715686274509804,0.5329949238578681,0.013023132895619627,0.0019442406124287276,0.5228426395939086
value_style,197,0.0008773239458754339,0.005263157894736842,0.5076142131979695,-0.02523997430660585,-0.0016010322595620895,0.4517766497461929
financial_value_proxy,197,-0.0026055172269281728,-0.014705882352941176,0.47715736040609136,-0.008707976444102483,-0.0002059143098560608,0.467005076142132
momentum,197,-0.00815986757876254,0.0018547162802488575,0.5025380710659898,-0.019692420418249923,-0.0010467997340958472,0.5076142131979695
lowvol_style,197,-0.00883767346104886,0.010526315789473684,0.5228426395939086,-0.03264865419917373,-0.0020965437927728424,0.4720812182741117
momentum_style,197,-0.01268956954943345,-0.012280701754385965,0.4720812182741117,-0.003954053679937175,0.0004614749700630586,0.4720812182741117
finaware_leverage,197,-0.03212388615611887,-0.02982456140350877,0.4365482233502538,-0.03881910618213458,-0.002629583508299466,0.4467005076142132
leverage,197,-0.039603117804387626,-0.029411764705882353,0.4467005076142132,-0.05397009037944944,-0.003954999573639899,0.43147208121827413
