Date,sector_code,leverage,leverage_coverage_n,margin,margin_coverage_n,valuation,valuation_coverage_n,momentum,momentum_coverage_n,growth,growth_coverage_n,lowvol,lowvol_coverage_n,quality_style,quality_style_coverage_n,value_style,value_style_coverage_n,growth_style,growth_style_coverage_n,momentum_style,momentum_style_coverage_n,lowvol_style,lowvol_style_coverage_n,financial_quality_proxy,financial_quality_proxy_coverage_n,financial_value_proxy,financial_value_proxy_coverage_n,finaware_leverage,finaware_leverage_coverage_n,finaware_margin,finaware_margin_coverage_n,finaware_quality,finaware_quality_coverage_n,finaware_valuation,finaware_valuation_coverage_n,fs_sector_pillar_score,fs_sector_pillar_score_coverage_n,fs_sector_factor_score,fs_sector_factor_score_coverage_n,fs_sector_reco_score,fs_sector_reco_score_coverage_n,eu_momentum_revision_score,eu_momentum_revision_score_coverage_n,improvement_quality_signal,improvement_quality_signal_coverage_n,improvement_deleveraging_signal,improvement_deleveraging_signal_coverage_n,improvement_value_signal,improvement_value_signal_coverage_n,improvement_core_signal,improvement_core_signal_coverage_n,sector_weight,constituents,sector_name,score_excel_like_plain,score_excel_like_financial_aware,score_final_screen_only,score_final_fs_sector,score_final_fs_sector_reco_blend,score_final_raw,score_final_raw_rank,score_final_smoothed_6m,score_final_us_improved,score_final,rank,recommendation
2026-06-30,16,5.865454721232918,69.0,7.8847541133633605,69,6.246801072491581,69.0,10.0,69,6.429347587040819,69,3.122074078832641,69,6.395013843902691,69,3.825792519686771,69,6.984440496541635,69,6.56831395076191,69,6.877925773981929,69,7.240667698575814,69,4.522723520057003,69,5.865454721232918,69,7.8847541133633605,69,6.395013843902691,69,6.246801072491581,69,8.062631073696647,69.0,8.062631073696647,69.0,,,7.020936688336532,69,6.623634872108126,67.0,5.112141553661841,67.0,7.236050379413829,67.0,6.323942268394599,67.0,0.4449394261867659,69,Technology,6.59140526216022,6.59140526216022,6.320907458197136,7.191769265946892,,7.191769265946892,10.0,10.0,10.0,10.0,1.0,Positive
2026-06-30,15,4.433749220288157,25.0,4.059130946858728,25,6.118812725778234,25.0,9.984918479939893,25,6.313840758681865,25,4.460575932909685,25,5.770047079967383,25,3.6218383503092966,25,6.989742246112067,25,7.607995978769997,25,5.539424323767794,25,5.366918408352059,25,4.633255261971133,25,4.433749220288157,25,4.059130946858728,25,5.770047079967383,25,6.118812725778234,25,6.547677595628416,25.0,6.547677595628416,25.0,,,6.741480084910874,25,5.5305466317892265,24.0,3.74078588564784,24.0,6.079487448292257,24.0,5.116939988576441,24.0,0.07234403433929353,25,Retail,5.895171344076093,5.895171344076093,5.944429902872809,6.2460537492506125,,6.2460537492506125,8.947368421052632,7.36842105263158,8.026315789473685,8.026315789473685,2.0,Positive
2026-06-30,10,2.3,1.0,4.877660211959458,22,2.850202239190454,18.0,9.987801555936509,22,3.0635776324756914,21,3.989873156699376,22,5.975098291261021,22,6.160157585614249,22,4.680198998329392,22,4.198753067328659,22,6.010126682462007,22,5.022606080984733,22,5.610227855167767,22,5.022606080984733,22,5.022606080984733,22,5.022606080984733,22,5.610227855167767,22,6.004508196721312,22.0,6.004508196721312,22.0,,,4.198677978799273,22,5.605173960306911,22.0,3.5141509433962264,1.0,5.336781973684645,22.0,5.473021716761591,22.0,0.01548456507262261,22,Insurance,4.511519132710248,5.449448727041468,5.3164169680762505,5.660462582398781,,5.660462582398781,7.894736842105264,7.543859649122807,7.7631578947368425,7.7631578947368425,3.0,Positive
2026-06-30,4,6.352474404834513,8.0,4.663447963762454,8,7.865013615568031,8.0,9.96977837968391,8,2.1478730731813087,8,1.0722707880177633,8,4.503506320134018,8,2.68873508913492,8,3.8774355129459708,8,2.8449673862831912,8,8.927729218046382,8,4.6614289837765055,8,4.243853208975115,8,6.352474404834513,8,4.663447963762454,8,4.503506320134018,8,7.865013615568031,8,5.614207650273225,8.0,5.614207650273225,8.0,,,4.113326603089187,8,5.15851129375079,8.0,5.343960473864288,8.0,4.084926606603854,8.0,4.862466124739644,8.0,0.006966608632673394,8,Chemicals,5.345143037507996,5.345143037507996,6.184259967851024,5.899233809062125,,5.899233809062125,8.421052631578947,6.052631578947367,7.5,7.5,4.0,Neutral
2026-06-30,11,5.4106057092913415,13.0,7.354025550236867,13,5.633359543159772,13.0,9.975513162613124,13,6.3531418969649085,13,3.9951086625516146,13,5.101868141658637,13,4.5127277625602344,13,6.805024052922746,13,5.362872255679049,13,6.004891074721499,13,6.0120985364297885,13,4.523702697079172,13,5.4106057092913415,13,7.354025550236867,13,5.101868141658637,13,5.633359543159772,13,5.7377049180327875,13.0,5.7377049180327875,13.0,,,5.249673827065538,13,5.9409365267639185,13.0,6.397887607536073,13.0,6.46013366459493,13.0,6.266319266298305,13.0,0.009783811495886075,13,Media,6.453625754136271,6.453625754136271,5.367613842409204,5.552659380220996,,5.552659380220996,6.842105263157895,7.456140350877193,7.368421052631579,7.368421052631579,5.0,Neutral
2026-06-30,1,1.4849834108254072,5.0,1.7094119333200377,5,8.848291047389607,5.0,10.0,5,8.034554201494826,5,6.839919678355998,5,3.9285400300961326,5,1.2062974564897624,5,5.81129500669072,5,5.519336583293074,5,3.160080033778594,5,2.4549221554650424,5,3.6285684824975903,5,1.4849834108254072,5,1.7094119333200377,5,3.9285400300961326,5,8.848291047389607,5,,,,,,,4.632035129581191,5,4.641732991739794,5.0,2.5154347169974973,5.0,2.57502436771814,5.0,3.244064025485143,5.0,0.0207483801973099,5,Automobiles and Parts,6.152860045230979,6.152860045230979,6.388415538742869,6.388415538742869,,6.388415538742869,9.473684210526315,9.473684210526315,7.2368421052631575,7.2368421052631575,6.0,Neutral
2026-06-30,6,5.0881298516375,3.0,5.150309394301292,30,7.06250993972932,24.0,9.79528256420134,30,4.8417419624429066,30,3.832726596139895,30,5.235495364134056,30,3.6638351128531617,30,5.79416106751545,30,5.015439533748378,30,6.167273507758926,30,5.776216578604571,30,4.703975733354193,30,5.776216578604571,30,5.776216578604571,30,5.776216578604571,30,4.703975733354193,30,6.004508196721312,30.0,6.004508196721312,30.0,,,4.8501214582794665,30,6.002574292114979,30.0,5.507264982048547,3.0,4.566333274529641,30.0,5.2857965304863646,30.0,0.045239246512172065,30,Financial Services,5.961783384742042,5.787693335557912,5.240096155979382,5.622302176350347,,5.622302176350347,7.368421052631579,7.719298245614035,7.2368421052631575,7.2368421052631575,7.0,Neutral
2026-06-30,3,4.100199045616765,7.0,4.399946660146973,7,4.733860039071214,7.0,9.444455763357054,7,5.131153265967108,7,3.9588827950133156,7,5.7115303902141665,7,4.977914128140974,7,4.873300987746097,7,5.380080162271276,7,6.041117289508624,7,5.312992406072841,7,5.128261437785932,7,4.100199045616765,7,4.399946660146973,7,5.7115303902141665,7,4.733860039071214,7,5.614207650273224,7.0,5.614207650273224,7.0,,,5.778351630169644,7,7.714916150789037,7.0,5.995143090550591,7.0,3.376971853769406,7.0,5.69567703170301,7.0,0.005580630326173156,7,Basic Resources,5.294749594862072,5.294749594862072,5.22269521464269,5.418451432457957,,5.418451432457957,5.7894736842105265,2.8947368421052633,6.315789473684211,6.315789473684211,8.0,Neutral
2026-06-30,14,3.9777951410202483,31.0,4.999272063319292,31,6.512809829885612,31.0,10.0,31,5.380703667053881,31,4.289071315629465,31,5.316286176224436,31,3.6370528343477173,31,5.505377533489177,31,5.985602024322724,31,5.7109286499507705,31,5.292662621869439,31,4.595574185878247,31,5.292662621869439,31,5.292662621869439,31,5.292662621869439,31,4.595574185878247,31,6.004508196721311,31.0,6.004508196721311,31.0,,,5.0606169567373565,31,5.071135181251192,31.0,5.936161851769255,31.0,4.4348510020737155,31.0,5.147382678364721,31.0,0.01827455658570767,31,Real Estate,5.859942002818083,5.808445735383412,4.944118403873842,5.474313300297577,,5.474313300297577,6.315789473684211,7.368421052631579,6.184210526315789,6.184210526315789,9.0,Neutral
2026-06-30,2,,,5.539872713337576,13,,,10.0,13,5.059704484823958,13,4.842784615779407,13,4.4023031640174315,13,5.517933290515151,13,6.2560065459083765,13,7.281255362905564,13,5.157215412482989,13,4.4023031640174315,13,5.035404858121358,13,4.4023031640174315,13,4.4023031640174315,13,4.4023031640174315,13,5.035404858121358,13,6.0045081967213125,13.0,6.0045081967213125,13.0,,,6.74446284946334,13,5.649068532782755,13.0,,,6.973759499033896,13.0,6.311414015908325,13.0,0.03403413945962011,13,Banks,6.360590453485235,5.623750047793265,4.718854011069395,5.361681103895354,,5.361681103895354,4.7368421052631575,5.263157894736842,5.921052631578947,5.921052631578947,10.0,Neutral
