candidate,Date,selected_sleeve,trailing_window_months,trailing_return,market
rotation_12m_two_sleeve,2010-01-31,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-02-28,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-03-31,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-04-30,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-05-31,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-06-30,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-07-31,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-08-31,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-09-30,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-10-31,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-11-30,baseline_raw,12,,EU
rotation_12m_two_sleeve,2010-12-31,baseline_raw,12,,EU
rotation_12m_two_sleeve,2011-01-31,baseline_raw,12,0.02493966678429227,EU
rotation_12m_two_sleeve,2011-02-28,baseline_raw,12,0.023028602174751223,EU
rotation_12m_two_sleeve,2011-03-31,baseline_raw,12,0.022160888385557964,EU
rotation_12m_two_sleeve,2011-04-30,improvement_core,12,0.048324697491947344,EU
rotation_12m_two_sleeve,2011-05-31,improvement_core,12,0.0389605810280953,EU
rotation_12m_two_sleeve,2011-06-30,improvement_core,12,0.040813973020354055,EU
rotation_12m_two_sleeve,2011-07-31,improvement_core,12,0.04112688194940173,EU
rotation_12m_two_sleeve,2011-08-31,improvement_core,12,0.04064256542036704,EU
rotation_12m_two_sleeve,2011-09-30,improvement_core,12,0.029183482057451027,EU
rotation_12m_two_sleeve,2011-10-31,improvement_core,12,0.03210273376446393,EU
rotation_12m_two_sleeve,2011-11-30,improvement_core,12,0.022530248728948488,EU
rotation_12m_two_sleeve,2011-12-31,improvement_core,12,0.02381310225737887,EU
rotation_12m_two_sleeve,2012-01-31,improvement_core,12,0.022324012083769773,EU
rotation_12m_two_sleeve,2012-02-29,improvement_core,12,0.021568297247266166,EU
rotation_12m_two_sleeve,2012-03-31,improvement_core,12,0.026910670824189298,EU
rotation_12m_two_sleeve,2012-04-30,improvement_core,12,0.018692080460495752,EU
rotation_12m_two_sleeve,2012-05-31,improvement_core,12,0.023542465058021156,EU
rotation_12m_two_sleeve,2012-06-30,improvement_core,12,0.012832005282000791,EU
rotation_12m_two_sleeve,2012-07-31,improvement_core,12,0.015696383532012526,EU
rotation_12m_two_sleeve,2012-08-31,improvement_core,12,0.012914180994544333,EU
rotation_12m_two_sleeve,2012-09-30,baseline_raw,12,0.010468377069384749,EU
rotation_12m_two_sleeve,2012-10-31,baseline_raw,12,0.007009190312548874,EU
rotation_12m_two_sleeve,2012-11-30,baseline_raw,12,0.010181707296449627,EU
rotation_12m_two_sleeve,2012-12-31,baseline_raw,12,0.011205257304218952,EU
rotation_12m_two_sleeve,2013-01-31,baseline_raw,12,0.01926698346221878,EU
rotation_12m_two_sleeve,2013-02-28,baseline_raw,12,0.025984492861933273,EU
rotation_12m_two_sleeve,2013-03-31,baseline_raw,12,0.021002411711227742,EU
rotation_12m_two_sleeve,2013-04-30,baseline_raw,12,0.015502168215973722,EU
rotation_12m_two_sleeve,2013-05-31,baseline_raw,12,0.009793233055375605,EU
rotation_12m_two_sleeve,2013-06-30,baseline_raw,12,0.02123532002178008,EU
